trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
347,False,"{'a': 0.45, 'e': 0.17748790389839914}",20,8,9.514329770703068,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
348,False,"{'a': 0.45, 'e': 0.17624982689609534}",30,21,13.49687024183362,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.45, 'e': 0.17502038617057425}",25,4,-9.386299878801816,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
350,False,"{'a': 0.45, 'e': 0.17379952147899416}",20,8,-22.76750007343548,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
351,False,"{'a': 0.45, 'e': 0.172587172998741}",25,18,11.030149266939365,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.45, 'e': 0.1713832813244967}",25,0,31.48584892180372,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
353,False,"{'a': 0.45, 'e': 0.17018778746532823}",30,0,21.37667701430395,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
354,False,"{'a': 0.45, 'e': 0.16900063284179737}",20,8,9.936286545505789,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
355,False,"{'a': 0.45, 'e': 0.16782175928309}",20,12,14.973504735614377,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.45, 'e': 0.166651109024166}",30,7,39.07284252537025,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.45, 'e': 0.16548862470292824}",25,17,15.40071362774585,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.45, 'e': 0.1643342493574125}",30,13,23.075451075240018,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.45, 'e': 0.16318792642299587}",30,18,22.04272971776208,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.45, 'e': 0.1620495997296253}",20,0,0.7082122304927905,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
361,False,"{'a': 0.45, 'e': 0.16091921349906488}",25,13,21.567513733137385,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.45, 'e': 0.1597967123421632}",20,3,30.10041756157596,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.45, 'e': 0.158682041256139}",25,13,26.205789822111903,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.45, 'e': 0.15757514562188613}",20,0,21.560242942437633,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.45, 'e': 0.15647597120129683}",25,10,11.979902523058616,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
366,False,"{'a': 0.45, 'e': 0.15538446413460472}",20,9,12.099481431827192,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.45, 'e': 0.15430057093774516}",20,4,27.68885705971975,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.45, 'e': 0.1532242384997345}",25,1,-17.00865572495007,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
369,False,"{'a': 0.45, 'e': 0.15215541408006797}",25,20,8.358503170821873,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.45, 'e': 0.1510940453061352}",25,18,10.259342053379308,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.45, 'e': 0.15004008017065396}",25,17,14.619597329013537,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.45, 'e': 0.14899346702912156}",20,13,5.148814213395327,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.45, 'e': 0.14795415459728473}",20,7,24.940816799758373,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.45, 'e': 0.1469220919486264}",20,0,-16.7608309745056,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
375,False,"{'a': 0.45, 'e': 0.14589722851187034}",25,15,19.980329705336672,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.45, 'e': 0.1448795140685029}",25,11,24.842084930500043,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.45, 'e': 0.1438688987503129}",25,0,21.569064399199732,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
378,False,"{'a': 0.45, 'e': 0.14286533303694746}",30,16,-16.421809447313407,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
379,False,"{'a': 0.45, 'e': 0.1418687677534859}",20,3,-55.96486276099088,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
380,False,"{'a': 0.45, 'e': 0.14087915406802984}",25,15,4.52127335574391,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
381,False,"{'a': 0.45, 'e': 0.1398964434893107}",20,16,5.701673405626579,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.45, 'e': 0.13892058786431355}",25,2,-8.759520181800088,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
383,False,"{'a': 0.45, 'e': 0.13795153937591756}",20,7,15.957605629912075,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.45, 'e': 0.13698925054055275}",20,8,20.612620685812495,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.45, 'e': 0.13603367420587376}",35,13,6.379572204816325,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
386,False,"{'a': 0.45, 'e': 0.13508476354844903}",20,16,9.110117517654555,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.45, 'e': 0.13414247207146637}",20,5,-12.155383607505902,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
388,False,"{'a': 0.45, 'e': 0.13320675360245493}",30,2,34.45536182797886,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
389,False,"{'a': 0.45, 'e': 0.1322775622910225}",25,1,-46.28332517432551,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 1}",1
390,False,"{'a': 0.45, 'e': 0.13135485260660895}",20,0,30.335928192885614,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
391,False,"{'a': 0.45, 'e': 0.13043857933625505}",20,10,16.11715377033369,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.45, 'e': 0.12952869758238725}",20,7,-1.9417995169286337,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
393,False,"{'a': 0.45, 'e': 0.12862516276061756}",20,5,30.192945405653326,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.45, 'e': 0.127727930597559}",20,8,10.539646830430556,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
395,False,"{'a': 0.45, 'e': 0.12683695712865592}",30,16,27.78436281397001,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.45, 'e': 0.12595219869603014}",35,19,11.033226568503295,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
397,False,"{'a': 0.45, 'e': 0.12507361194634148}",25,8,29.833919855209963,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.45, 'e': 0.1242011538286634}",25,18,13.328565960390616,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.45, 'e': 0.12333478159237349}",25,0,37.093995585483285,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
400,False,"{'a': 0.45, 'e': 0.12247445278505889}",20,9,-0.8146874590308015,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
401,False,"{'a': 0.45, 'e': 0.1216201252504359}",30,12,10.651951711855913,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
402,False,"{'a': 0.45, 'e': 0.12077175712628442}",20,11,18.28631568800347,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.45, 'e': 0.11992930684239654}",20,4,7.820352644686134,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
404,False,"{'a': 0.45, 'e': 0.11909273311853984}",20,3,15.218425424878308,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
405,False,"{'a': 0.45, 'e': 0.1182619949624345}",20,11,16.155492437941575,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.45, 'e': 0.11743705166774457}",30,9,-9.696267306809126,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
407,False,"{'a': 0.45, 'e': 0.11661786281208358}",25,14,20.95976097898974,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.45, 'e': 0.11580438825503371}",25,16,18.26189495099099,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.45, 'e': 0.11499658813617897}",35,3,-9.075050968904174,"{0: 28, 1: 2, 2: 0, 3: 2, 4: 0}",1
410,False,"{'a': 0.45, 'e': 0.11419442287315178}",20,0,-10.55247650028864,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
411,False,"{'a': 0.45, 'e': 0.1133978531596938}",20,13,11.135498765565229,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.45, 'e': 0.11260683996372974}",20,15,9.733723681813618,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.45, 'e': 0.11182134452545471}",25,0,21.53729638788946,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
414,False,"{'a': 0.45, 'e': 0.11104132835543501}",20,11,5.1353426107326765,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
415,False,"{'a': 0.45, 'e': 0.11026675323272228}",20,13,14.65249081358854,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.45, 'e': 0.10949758120298053}",25,0,-7.208512207845726,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
417,False,"{'a': 0.45, 'e': 0.10873377457662645}",35,25,5.851627847290721,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
418,False,"{'a': 0.45, 'e': 0.10797529592698243}",25,10,24.581680406752664,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.45, 'e': 0.10722210808844293}",20,0,31.692168703291433,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
