trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.4, 'e': 1.1369999999999976}",20,0,-152.32933425471987,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 2}",0
43,False,"{'a': 0.4, 'e': 1.1354999999999975}",30,0,-111.9716002514134,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
44,False,"{'a': 0.4, 'e': 1.1339999999999975}",20,0,-50.674745713546685,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.4, 'e': 1.1324999999999974}",20,0,-155.39287226626402,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
46,False,"{'a': 0.4, 'e': 1.1309999999999973}",25,0,-135.85799022074454,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
47,False,"{'a': 0.4, 'e': 1.1294999999999973}",25,10,-133.3095605905945,"{0: 5, 1: 2, 2: 5, 3: 2, 4: 1}",1
48,False,"{'a': 0.4, 'e': 1.1279999999999972}",20,0,-137.60149488418165,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
49,False,"{'a': 0.4, 'e': 1.1264999999999972}",20,0,-200.24726453768992,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 4}",0
50,False,"{'a': 0.4, 'e': 1.1249999999999971}",30,0,-156.04826851363754,"{0: 17, 1: 7, 2: 2, 3: 2, 4: 2}",0
51,False,"{'a': 0.4, 'e': 1.123499999999997}",35,0,-269.64707449645766,"{0: 14, 1: 7, 2: 9, 3: 2, 4: 3}",0
52,False,"{'a': 0.4, 'e': 1.121999999999997}",20,12,-50.56511781908728,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
53,False,"{'a': 0.4, 'e': 1.120499999999997}",20,0,-164.15956578742416,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
54,False,"{'a': 0.4, 'e': 1.1189999999999969}",25,0,-64.44101525666773,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
55,False,"{'a': 0.4, 'e': 1.1174999999999968}",20,0,-128.59088508603824,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
56,False,"{'a': 0.4, 'e': 1.1159999999999968}",25,0,-165.1088356835874,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
57,False,"{'a': 0.4, 'e': 1.1144999999999967}",30,0,-180.87630128624085,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
58,False,"{'a': 0.4, 'e': 1.1129999999999967}",30,0,-342.5796602652975,"{0: 10, 1: 2, 2: 12, 3: 1, 4: 5}",0
59,False,"{'a': 0.4, 'e': 1.1114999999999966}",20,7,-47.39981017499817,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.4, 'e': 1.1099999999999965}",20,0,-56.541936109747006,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
61,False,"{'a': 0.4, 'e': 1.1084999999999965}",25,0,-101.48525431714832,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
62,False,"{'a': 0.4, 'e': 1.1069999999999964}",30,8,-25.702790920434342,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.4, 'e': 1.1054999999999964}",20,0,-139.19826578677183,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
64,False,"{'a': 0.4, 'e': 1.1039999999999963}",20,0,-156.53830907235795,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
65,False,"{'a': 0.4, 'e': 1.1024999999999963}",20,12,-12.238047374424305,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.4, 'e': 1.1009999999999962}",25,0,-46.18371733450602,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.4, 'e': 1.0994999999999961}",20,1,-28.016789254897255,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
